"r","theo","border"
0,0,0
3.35305989697814,35.3209597336584,3.14991585930266
6.70611979395629,141.283838934634,3.15367086799052
10.0591796909344,317.888637602926,3.16120780758626
13.4122395879126,565.135355738535,3.16336784025287
16.7652994848907,883.023993341461,19.0061806399319
20.1183593818689,1271.5545504117,69.8207056401863
23.471419278847,1730.72702694926,166.789098504738
26.8244791758251,2260.54142295414,263.957323193843
30.1775390728033,2860.99773842633,413.853566063132
33.5305989697814,3532.09597336584,607.394402835413
36.8836588667596,4273.83612777267,951.788528868302
40.2367187637377,5086.21820164682,1462.39647294557
43.5897786607159,5969.24219498828,2276.71554790591
46.942838557694,6922.90810779706,3277.48553958473
50.2958984546721,7947.21594007315,4390.66826361748
53.6489583516503,9042.16569181656,5782.35403722985
57.0020182486284,10207.7573630273,7352.78142950729
60.3550781456066,11443.9909537053,8832.42785968013
63.7081380425847,12750.8664638507,10416.1703340826
67.0611979395629,14128.3838934634,12228.2764969451
70.414257836541,15576.5432425434,14216.0291407966
73.7673177335191,17095.3445110907,16207.2203523286
77.1203776304973,18684.7876991053,18374.8274814905
80.4734375274754,20344.8728065873,20654.9628955665
83.8264974244536,22075.5998335365,22916.0960662758
87.1795573214317,23876.9687799531,25319.4750216419
90.5326172184099,25748.979645837,27831.9018421035
93.885677115388,27691.6324311882,30136.9062021528
97.2387370123661,29704.9271360068,32851.3042950666
100.591796909344,31788.8637602926,35570.1073662297
103.944856806322,33943.4423040458,38299.8546384983
107.297916703301,36168.6627672663,41279.9453317984
110.650976600279,38464.525149954,44300.9092995822
114.004036497257,40831.0294521092,47140.0680716384
117.357096394235,43268.1756737316,50354.3377700585
120.710156291213,45775.9638148213,53365.645773041
124.063216188191,48354.3938753784,56588.5466934674
127.416276085169,51003.4658554028,59680.5759583507
130.769335982148,53723.1797548945,62970.8794880461
134.122395879126,56513.5355738535,66491.8647199092
137.475455776104,59374.5333122799,69955.7745554353
140.828515673082,62306.1729701735,73537.991920495
144.18157557006,65308.4545475345,77300.7789481327
147.534635467038,68381.3780443628,81089.4581051929
150.887695364016,71524.9434606584,84880.0938907263
154.240755260995,74739.1507964213,88837.0775663801
157.593815157973,78024.0000516515,92966.7751078759
160.946875054951,81379.4912263491,96752.7766392147
164.299934951929,84805.6243205139,100984.588394148
167.652994848907,88302.3993341461,105142.990229837
171.006054745885,91869.8162672456,109351.971822018
174.359114642863,95507.8751198124,113620.23448015
177.712174539842,99216.5758918466,118206.902611142
181.06523443682,102995.918583348,122755.369157037
184.418294333798,106845.903194317,127381.593577012
187.771354230776,110766.529724753,132191.64268801
191.124414127754,114757.798174656,137146.80489412
194.477474024732,118819.708544027,142111.652331294
197.83053392171,122952.260832865,147332.535073353
201.183593818689,127155.45504117,152330.831366691
204.536653715667,131429.291168943,157634.309154424
207.889713612645,135773.769216183,162553.81980399
211.242773509623,140188.88918289,167716.102939817
214.595833406601,144674.651069065,173061.292722905
217.948893303579,149231.054874707,178525.391011202
221.301953200557,153858.100599816,184262.559725986
224.655013097536,158555.788244393,189821.365273367
228.008072994514,163324.117808437,195013.765516473
231.361132891492,168163.089291948,200796.600826332
