"r","theo","border","trans","iso"
0,0,0,0,0
1.94921875,11.9363359426348,0,0,0
3.8984375,47.7453437705391,0,0,0
5.84765625,107.427023483713,0,0,0
7.796875,190.981375082156,0,0,0
9.74609375,298.408398565869,0,0,0
11.6953125,429.708093934852,0,0,0
13.64453125,584.880461189104,47.1700549672621,46.1085628723589,23.0542814361795
15.59375,763.925500328625,94.8862176620758,92.2171257447178,69.1628443085384
17.54296875,966.843211353416,238.249914260517,232.550892476839,207.488532925615
19.4921875,1193.63359426348,238.596711806748,232.550892476839,207.488532925615
21.44140625,1444.29664905881,335.991679964466,325.772057279078,299.705658670333
23.390625,1718.83237573941,409.78985252809,418.993222081318,395.954136725237
25.33984375,2017.24077430528,797.8209518246,792.881920347799,764.822639704109
27.2890625,2339.52184475641,1091.15641205704,1074.55349286956,1041.47401693826
29.23828125,2685.67558709282,1561.10420010701,1543.67143405333,1504.47297450503
31.1875,3055.7020013145,2076.43144351044,2107.60588380222,2074.06962224851
33.13671875,3449.60108742145,2232.98662156025,2248.94368959186,2212.39531086558
35.0859375,3867.37284541366,2933.23262862212,2909.70272602092,2857.91519107861
37.03515625,4309.01727529115,3278.31882022472,3241.26485364617,3180.67513118512
38.984375,4774.53437705391,3510.71849526327,3573.41672736993,3569.66731689254
40.93359375,5263.92415070193,4228.48406250533,4334.27296462053,4314.57553730647
42.8828125,5777.18659623523,4897.48848143327,4953.51315156103,4913.98685464713
44.83203125,6314.32171365379,5330.39624967836,5378.11787363531,5335.70506064935
46.78125,6875.32950295763,5816.3721003987,5855.70563599442,5801.79998673055
48.73046875,7460.20996414673,6672.46150045738,6713.00419431465,6655.9213351332
50.6796875,8068.9630972211,7549.76049789,7575.85857219806,7491.30640488467
52.62890625,8701.58890218075,8157.55849511594,8152.28869011268,8062.4023434365
54.578125,9358.08737902566,8617.7335601851,8631.05463425513,8547.85017951025
56.52734375,10038.4585277558,9377.63612368356,9400.28959063127,9298.70852823622
58.4765625,10742.7023483713,10238.2827508595,10169.0912680693,10036.445534194
60.42578125,11470.818840872,11291.9870474407,11276.3596108416,11190.9289961742
62.375,12222.808005258,12137.0879888893,12096.9646569518,12005.8186675602
64.32421875,12998.6698415293,13149.8753315234,13061.9425635653,12933.5867701359
66.2734375,13798.4043496858,13956.4211755573,14025.3369369189,13978.1637617386
68.22265625,14622.0115297276,14937.5010760239,14844.6552482057,14758.3890607374
70.171875,15469.4913816547,16045.6676022362,15999.6679126887,15932.9410966304
72.12109375,16340.843905467,17274.0127068937,17157.7361989321,17081.2247100889
74.0703125,17236.0691011646,17952.6983012306,17979.3904936232,17960.9036665757
76.01953125,18155.1669687475,18794.9744553246,18799.7929343979,18748.004844579
77.96875,19098.1375082156,19507.3516575355,19523.4915403975,19479.9659348494
79.91796875,20064.980719569,20319.0309572996,20201.1813815379,20134.3417116422
81.8671875,21055.6966028077,21281.7530079588,21073.1221697842,20979.8871687348
83.81640625,22070.2851579317,22486.9607517927,22287.8899246333,22152.9808809174
85.765625,23108.7463849409,23927.3269596938,23744.3424807327,23581.0731147791
87.71484375,24171.0802838354,25304.8683345629,25161.2029316332,25033.3823048668
89.6640625,25257.2868546152,26309.8976504475,26186.001798201,26044.8599507661
91.61328125,26367.3660972802,27924.3511092395,27646.8213385684,27487.8208964115
93.5625,27501.3180118305,29577.9708308439,29219.4537793225,29072.7239642945
95.51171875,28659.1425982661,30861.4151007362,30593.100387536,30412.5898095485
97.4609375,29840.8398565869,32102.5683779791,31776.7666831723,31537.235810881
99.41015625,31046.409786793,33585.573927477,33156.568403251,32945.5105240507
101.359375,32275.8523888844,35001.3828345609,34687.0819864273,34517.1081118684
103.30859375,33529.1676628611,36310.1273210075,36025.9114117143,35844.0136846009
