"r","theo","border","trans","iso"
0,0,0,0,0
2.6552734375,22.1497268351325,0,0,0
5.310546875,88.5989073405298,0,0,0
7.9658203125,199.347541516192,0,0,0
10.62109375,354.395629362119,0,0,0
13.2763671875,553.743170878311,0,0,0
15.931640625,797.390166064768,0,0,0
18.5869140625,1085.33661492149,0,0,0
21.2421875,1417.58251744848,0,0,0
23.8974609375,1794.12787364573,285.827894204365,283.073663960425,283.073663960426
26.552734375,2214.97268351325,381.103858939153,378.527939897698,377.431551947234
29.2080078125,2680.11694705103,476.379823673941,473.98221583497,471.789439934042
31.86328125,3189.56066425907,476.379823673941,473.98221583497,471.789439934042
34.5185546875,3743.30383513739,763.03261800588,759.248655696324,754.863103894468
37.173828125,4341.34645968596,955.85973296832,949.060819620405,943.578879868085
39.8291015625,4983.6885379048,1626.72589083013,1613.95158732992,1604.08409577574
42.484375,5670.33006979391,2112.0543380751,2091.22296701628,2075.87353570979
45.1396484375,6401.27105535328,2496.06421772512,2471.94368281491,2453.30508765702
47.794921875,7176.51149458292,3168.08150711265,3137.93083847489,3113.81030356468
50.4501953125,7996.05138748282,3555.96498696633,3519.74794222398,3491.24185551191
53.10546875,8859.89073405298,4618.17995002685,4569.74497753397,4505.58915137011
55.7607421875,9768.02953429341,5676.51285524134,5621.80910856073,5543.525919225
58.416015625,10720.4677882041,7504.54241879364,7438.93382533201,7336.32579097436
61.0712890625,11717.2054957851,9053.81981824026,8967.94897730992,8822.46252676659
63.7265625,12758.2426570363,10328.5198352965,10211.6348493344,10049.1150705951
66.3818359375,13843.5792719578,11293.8020628943,11171.2908447665,10992.6939504632
69.037109375,14973.2153405495,13316.3865546218,13190.7775172396,12950.6201261895
71.6923828125,16147.1508628116,15948.7667590288,15877.7169058601,15616.6505313347
74.34765625,17365.3858387438,17490.0199871469,17415.2662962078,17146.0950518876
77.0029296875,18627.9202683464,19692.8252330699,19531.6336228645,19221.9685875974
79.658203125,19934.7541516192,21276.1885811407,21069.903031711,20731.6947953863
82.3134765625,21285.8874885623,23942.0559714795,23761.9786326148,23436.4070474469
84.96875,22681.3202791756,26713.5682546858,26557.5630851917,26197.458811573
87.6240234375,24121.0525234592,29425.8808029141,29253.4794018306,28904.0230865712
90.279296875,25605.0842214131,31904.1414871688,31662.9988439424,31262.9702862414
92.9345703125,27133.4153730373,34267.411226959,34170.0280825714,33784.7175904527
95.58984375,28706.0459783317,36425.2055892522,36287.1492572093,35860.5911261625
98.2451171875,30322.9760372963,38396.7999377909,38218.7744667143,37747.7488858987
100.900390625,31984.2055499313,40314.9095460234,40149.1962037175,39668.0069761541
103.5556640625,33689.7345162365,42782.1622722183,42561.9746389112,42026.9541758243
106.2109375,35439.5629362119,45446.7952165087,45171.744888178,44551.0276794714
108.8662109375,37233.6908098577,48758.1692285557,48450.9007387949,47774.327972997
111.521484375,39072.1181371737,51425.7894295101,51255.9560766985,50611.1825407393
