"r","theo","border"
0,0,0
4.07747618772047,52.231529032145,0
8.15495237544094,208.92611612858,0
12.2324285631614,470.083761289305,0
16.3099047508819,835.704464514321,0
20.3873809386023,1305.78822580363,3.88100395311866
24.4648571263228,1880.33504515722,31.0568345825974
28.5423333140433,2559.34492257511,58.2811376841769
32.6198095017637,3342.81785805728,139.974030974782
36.6972856894842,4230.75385160375,291.98568268274
40.7747618772047,5223.1529032145,679.933337985816
44.8522380649252,6320.01501288955,1524.82003449776
48.9297142526456,7521.34018062888,2794.64146914694
53.0071904403661,8827.12840643251,4495.03647583573
57.0846666280866,10237.3796903004,6559.49222274019
61.162142815807,11752.0940322326,9047.21443276588
65.2396190035275,13371.2714322291,11724.9594688709
69.317095191248,15094.9118902899,14405.8065497761
73.3945713789684,16923.015406415,17474.205842455
77.4720475666889,18855.5819806044,20716.9348868011
81.5495237544094,20892.611612858,24040.3986653221
85.6269999421298,23034.104303176,27657.5785487576
89.7044761298503,25280.0600515582,31323.3994237554
93.7819523175708,27630.4788580047,35360.6407217481
97.8594285052912,30085.3607225155,39126.1486992127
101.936904693012,32644.7056450906,43184.400462636
106.014380880732,35308.51362573,47484.6448257683
110.091857068453,38076.7846644337,52016.8580054817
114.169333256173,40949.5187612017,56366.7753110176
118.246809443894,43926.715916034,60744.8297521172
122.324285631614,47008.3761289305,65264.1526576744
126.401761819335,50194.4993998914,69949.6644227335
130.479238007055,53485.0857289165,74510.3899177967
134.556714194775,56880.1351160059,79460.3289936704
138.634190382496,60379.6475611597,84447.3820769411
142.711666570216,63983.6230643777,89648.5354772686
146.789142757937,67692.06162566,95034.1065152625
150.866618945657,71504.9632450066,100394.701611974
154.944095133378,75422.3279224174,106212.753379283
159.021571321098,79444.1556578926,112126.733554838
163.099047508819,83570.446451432,118185.149433833
167.176523696539,87801.2003030358,124113.456640977
171.25399988426,92136.4172127038,130385.774236643
175.33147607198,96576.0971804362,136805.341532189
179.408952259701,101120.240206233,143532.601201996
183.486428447421,105768.846290094,150201.040209296
187.563904635142,110521.915432019,156947.114275315
191.641380822862,115379.447632008,163638.124363901
195.718857010582,120341.442890062,170335.916377039
199.796333198303,125407.90120618,177479.921498952
203.873809386023,130578.822580363,184619.295953791
207.951285573744,135854.207012609,191853.041623558
212.028761761464,141234.05450292,199140.346366792
216.106237949185,146718.365051295,206641.523291561
220.183714136905,152307.138657735,213904.209072438
224.261190324626,158000.375322239,221747.351299457
228.338666512346,163798.075044807,229789.466998923
232.416142700067,169700.237825439,237831.380785501
236.493618887787,175706.863664136,245849.186788236
240.571095075508,181817.952560897,254474.060787465
244.648571263228,188033.504515722,262920.29305866
248.726047450949,194353.519528612,271154.947446366
252.803523638669,200777.997599566,279919.454685435
256.880999826389,207306.938728584,288515.159295255
260.95847601411,213940.342915666,297517.037624777
265.03595220183,220678.210160813,306653.635810286
269.113428389551,227520.540464024,315644.638843109
273.190904577271,234467.333825299,324923.936724065
277.268380764992,241518.590244639,334390.928124932
281.345856952712,248674.309722043,343902.316179017
285.423333140433,255934.492257511,353258.710334852
289.500809328153,263299.137851043,363392.842283981
293.578285515874,270768.24650264,373026.434056529
297.655761703594,278341.818212301,383002.961314099
301.733237891315,286019.852980026,392932.951626081
305.810714079035,293802.350805816,402977.033014289
309.888190266756,301689.31168967,413097.204633232
313.965666454476,309680.735631588,423435.301978412
318.043142642197,317776.62263157,434185.685883471
322.120618829917,325976.972689617,445326.341402541
326.198095017637,334281.785805728,455894.484211893
330.275571205358,342691.061979904,466790.097073018
