"r","theo","border","trans","iso"
0,0,0,0,0
3.08984375,29.9932072920336,0,0,0
6.1796875,119.972829168134,0,0,0
9.26953125,269.938865628303,0,0,0
12.359375,479.891316672538,0,0,0
15.44921875,749.830182300841,0,0,0
18.5390625,1079.75546251321,0,0,0
21.62890625,1469.66715730965,16.5825286591623,16.4473679568971,16.4473679568971
24.71875,1919.56526669015,16.6337884077223,16.4473679568971,16.4473679568971
27.80859375,2429.44979065472,83.2976865309314,82.5929964666187,82.2368397844855
30.8984375,2999.32072920336,183.444223291983,182.188800149346,180.921047525868
33.98828125,3629.17808233607,234.321703572548,248.690585341201,251.238055258095
37.078125,4319.02185005284,385.156750978188,398.425623202933,399.264366870169
40.16796875,5068.85203235368,737.586742042116,747.772037820289,744.659093965008
43.2578125,5878.66862923859,1041.48978385126,1047.45951342512,1040.71171718916
46.34765625,6748.47164070756,1480.55452336958,1481.275712707,1468.34328406848
49.4375,7678.26106676061,2351.91779126097,2348.30538272535,2324.61465169653
52.52734375,8668.03690739772,3269.16612686121,3249.60507745291,3208.66067937975
55.6171875,9717.79916261889,4211.2412999203,4185.02783013799,4129.7256383714
58.70703125,10827.5478324241,5383.86118143415,5370.18336304696,5309.62159598965
61.796875,11997.2829168134,6760.34534275181,6740.36991106179,6669.54211536424
64.88671875,13227.0044157868,8024.59341655887,7992.80946226393,7901.71611844846
67.9765625,14516.7123293443,9667.03421523836,9629.51400002089,9530.78618902637
71.06640625,15866.4066574858,11678.8927380752,11617.8975100898,11499.4174974261
74.15625,17276.0874002114,13549.8928846904,13524.7867268737,13416.1252051789
77.24609375,18745.754557521,15446.4531714711,15451.6552154172,15343.0603017695
80.3359375,20275.4081294147,17641.9699565498,17636.8653355796,17500.2644818357
83.42578125,21865.0481158925,20088.2215341386,20060.2297542684,19897.9506062603
86.515625,23514.6745169544,22657.4260613879,22654.2183684139,22467.3184681805
89.60546875,25224.2873326003,24916.8879705811,24995.8441848101,24801.6485803557
92.6953125,26993.8865628303,27850.3122103027,27897.5649022796,27651.9366050017
95.78515625,28823.4722076443,30847.9488921538,30834.0437116811,30541.7914961413
98.875,30713.0442670424,33534.000653933,33451.3945866988,33104.0754113001
101.96484375,32662.6027410246,36249.7716556555,36171.8298975652,35818.0859280498
105.0546875,34672.1476295909,39384.9369564208,39232.9695481627,38829.1696069277
108.14453125,36741.6789327412,42415.1819815503,42260.4028626684,41809.6564846277
111.234375,38871.1966504756,45686.0044726648,45543.016242247,45055.4411617353
114.32421875,41060.700782794,48878.673242825,48640.2241219583,48098.1732412225
117.4140625,43310.1913296966,51940.1768488531,51671.0622119669,51084.0587488047
120.50390625,45619.6682911831,55203.5289874907,54905.7860965679,54281.8852189019
123.59375,47989.1316672538,58360.0718462842,58023.4908841986,57357.486517647
126.68359375,50418.5814579085,61754.4370542003,61468.2941594469,60784.4963205783
129.7734375,52908.0176631473,64973.2711927274,64702.0957330351,63995.2805136219
132.86328125,55457.4402829702,68081.3461443145,67836.2591147028,67076.2694369689
135.953125,58066.8493173771,71488.2748970933,71211.2106204735,70410.2238053513
139.04296875,60736.2447663681,75274.5719638702,74930.6388384123,74092.7611626875
142.1328125,63465.6266299431,78918.7869463362,78585.3521714635,77695.1648943077
145.22265625,66254.9949081023,82191.1923792138,81764.8172627628,80777.2424980548
148.3125,69104.3496008455,86342.9941084777,85868.5042471545,84795.6756243342
151.40234375,72013.6907081727,90481.0322093988,89822.4756995859,88664.6528890918
154.4921875,74983.0182300841,94319.1871667544,93626.1608911305,92406.3528575585
157.58203125,78012.3321665795,98275.726205062,97547.5630794211,96276.1590026091
160.671875,81101.6325176589,102355.040166245,101574.653636338,100283.381593488
163.76171875,84250.9192833224,106405.53958347,105553.251406922,104190.296948864
166.8515625,87460.19246357,110466.700285409,109513.304921239,108052.368761415
169.94140625,90729.4520584017,114672.883117966,113647.682682562,112117.374664664
173.03125,94058.6980678174,119398.134533345,118213.239363352,116608.093983942
176.12109375,97447.9304918172,123932.820750655,122819.216962144,121169.391023463
179.2109375,100897.149330401,128302.404447486,127262.497754376,125568.001624079
182.30078125,104406.354583569,133303.505514441,132126.16064462,130314.161577437
185.390625,107975.546251321,137667.541238547,136510.85915796,134660.158191676
188.48046875,111604.724333657,142775.643437788,141609.907550992,139645.486797393
191.5703125,115293.888830577,147159.082875848,146105.890416133,144096.776576332
194.66015625,119043.039742081,151690.846144321,150503.702021307,148380.351208104
197.75,122852.17706817,156259.130895882,154920.441070771,152729.984606122
200.83984375,126721.300808842,160885.922715989,159444.773676994,157140.243185874
203.9296875,130650.410964098,165645.429934627,164124.869741433,161756.462927268
207.01953125,134639.507533939,170379.394286408,168758.617120756,166299.339214603
210.109375,138688.590518363,175429.782397967,173841.283541377,171316.258600394
213.19921875,142797.659917372,180232.981624696,178585.092226286,176021.770613288
216.2890625,146966.715730965,185527.063868362,183900.887518477,181228.477296596
219.37890625,151195.757959141,190401.067432742,188768.071481594,186069.920831765
222.46875,155484.786601902,195393.314622497,193601.230098133,190816.576178767
225.55859375,159833.801659247,200654.626786285,198880.418643173,195988.207375457
228.6484375,164242.803131176,205993.868490306,204093.593991453,201096.192555693
231.73828125,168711.791017689,211543.357400025,209566.231103319,206442.37290901
234.828125,173240.765318786,217304.216497549,215110.222516459,211833.665175767
