"r","theo","border","trans","iso"
0,0,0,0,0
1.4306640625,6.43021077437473,0,0,0
2.861328125,25.7208430974989,0,0,0
4.2919921875,57.8718969693725,0,0,0
5.72265625,102.883372389996,0,0,0
7.1533203125,160.755269359368,0,0,0
8.583984375,231.48758787749,0,0,0
10.0146484375,315.080327944362,0,0,0
11.4453125,411.533489559983,0,0,0
12.8759765625,520.847072724353,0,0,0
14.306640625,643.021077437473,0,0,0
15.7373046875,778.055503699342,0,0,0
17.16796875,925.950351509961,0,0,0
18.5986328125,1086.70562086933,0,0,0
20.029296875,1260.32131177745,0,0,0
21.4599609375,1446.79742423431,0,0,0
22.890625,1646.13395823993,0,0,0
24.3212890625,1858.3309137943,0,0,0
25.751953125,2083.38829089741,0,0,0
27.1826171875,2321.30608954928,0,0,0
28.61328125,2572.08430974989,0,0,0
30.0439453125,2835.72295149925,0,0,0
31.474609375,3112.22201479737,0,0,0
32.9052734375,3401.58149964423,417.704297209382,397.443172678234,391.597778633796
34.3359375,3703.80140603984,420.25127463139,397.443172678234,391.597778633796
35.7666015625,4018.8817339842,422.829503310111,397.443172678234,391.597778633796
37.197265625,4346.82248347732,1276.31868591756,1198.90085332882,1174.79333590139
38.6279296875,4687.62365451918,1276.31868591756,1198.90085332882,1174.79333590139
40.05859375,5041.28524710979,1712.3281748956,1601.81980997845,1566.39111453518
41.4892578125,5407.80726124915,1723.0302259887,1601.81980997845,1566.39111453518
42.919921875,5787.18969693725,2153.78778248588,1999.26298265669,1957.98889316898
44.3505859375,6179.43255417411,2600.80034111502,2402.18193930632,2349.58667180277
45.78125,6584.53583295972,2633.93155565152,2402.18193930632,2349.58667180277
47.2119140625,7002.49953329408,2429.91442126612,2402.18193930632,2349.58667180277
48.642578125,7433.32365517718,2429.91442126612,2402.18193930632,2349.58667180277
50.0732421875,7877.00819860904,2890.24425004556,2805.05539923547,2741.18445043657
51.50390625,8333.55316358965,3334.89721159103,3212.94923267922,3132.78222907036
52.9345703125,8802.958550119,3828.95605775267,3615.86818932885,3524.38000770416
54.365234375,9285.22435819711,4307.57556497175,4018.78714597849,3915.97778633796
55.7958984375,9780.35058782396,4307.57556497175,4018.78714597849,3915.97778633796
57.2265625,10288.3372389996,5020.75032738429,4829.55443935139,4712.10265470017
58.6572265625,10809.1843117239,5743.434086629,5635.34685593017,5576.64867770639
60.087890625,11342.891805997,6244.53907405301,6851.90962888718,6926.75289878992
61.5185546875,11889.4597218189,6752.41575049626,7260.69140720209,7318.35067742372
62.94921875,12448.8880591895,6752.41575049626,7260.69140720209,7318.35067742372
64.3798828125,13021.1768181088,8673.75760021523,9290.90260124986,9276.3395705927
65.810546875,13606.3259985769,9142.60936238902,9694.3227008804,9667.93734922649
67.2412109375,14204.3356005938,10080.3128867366,10501.5306305662,10451.1329064941
68.671875,14815.2056241594,11018.0164110842,11319.6724954901,11234.3284637617
70.1025390625,15438.9360692737,11486.868173258,11733.4798906574,11625.9262423955
71.533203125,16075.5269359368,13127.8493408663,13367.6001102726,13302.5987151828
72.9638671875,16724.9782241487,13596.7011030401,13775.7272392057,13694.1964938166
74.39453125,17387.2899339093,14065.5528652139,14184.5090175206,14085.7942724504
75.8251953125,18062.4620652186,14299.9787463008,14591.75104025,14539.0029060517
77.255859375,18750.4946180767,17347.5152004305,17473.5191111802,17335.9231378036
78.6865234375,19451.3875924835,17816.3669626042,17886.2255728497,17727.5209164374
80.1171875,20165.1409884391,18285.218724778,18294.3527017827,18119.1186950712
81.5478515625,20891.7548059435,18285.218724778,18294.3527017827,18119.1186950712
82.978515625,21631.2290449966,18410.4599489204,18294.3527017827,18119.1186950712
84.4091796875,22383.5637055984,19012.7473212546,19128.055043535,18985.1438360816
85.83984375,23148.758787749,19862.709549592,19961.7573852872,19768.3393933492
87.2705078125,23926.8142914484,20819.9485640301,20785.8062114899,20551.5349506168
88.701171875,24717.7302166965,22734.4265929065,22433.7078142281,22117.926065152
90.1318359375,25521.5065634933,25127.5241290019,24919.6680931944,24693.9056300575
91.5625,26338.1433318389,27759.9314187068,27395.0127257388,27129.2398207948
92.9931640625,27167.6405217332,29158.9730551934,29058.6741654542,29091.1483376814
94.423828125,28009.9981331763,29364.3179358638,29477.1899849419,29482.7461163152
95.8544921875,28865.2161661681,29364.3179358638,29477.1899849419,29482.7461163152
97.28515625,29733.2946207087,29849.6785629028,29891.8148961717,29874.343894949
98.7158203125,30614.2334967981,31791.1210710591,31554.9772934043,31440.7350094842
100.146484375,31508.0327944362,33247.2029521763,32800.2851633282,32615.5283453856
101.5771484375,32414.692513623,33247.2029521763,32800.2851633282,32615.5283453856
103.0078125,33334.2126543586,33489.8832656959,33625.5864900705,33764.4585188513
104.4384765625,34266.5932166429,34952.8988700565,35280.8323385907,35631.3141926291
105.869140625,35211.834200476,37168.2234463277,37791.9972929783,38328.0233005075
107.2998046875,36169.9356058578,38891.2536723164,39465.0509832239,39911.1769596172
108.73046875,37140.8974327884,41106.5782485876,41556.0068371936,42043.1020808688
110.1611328125,38124.7196812678,42583.461299435,42811.0573230962,43217.8954167702
111.591796875,39121.4023512958,43450.3274379759,44070.452459181,44591.6885954564
113.0224609375,40130.9454428727,44773.6321497794,45339.5832508954,45766.4819313578
114.453125,41153.3489559983,45436.945218665,46186.4686512078,46599.5269719229
115.8837890625,42188.6128906726,45436.945218665,46601.6725801188,47172.4632360686
117.314453125,43236.7372468957,46804.7016611856,47867.4826625996,48347.25657197
118.7451171875,44297.7220246675,48604.8824943081,49538.7383750444,50016.1410906335
120.17578125,45371.5672239881,50147.8946369846,50796.0467441582,51190.9344265349
121.6064453125,46458.2728448574,50662.2320178767,51215.8922797116,51582.5322051687
123.037109375,47557.8388872755,52205.2441605532,52915.8530484835,53292.6798429959
124.4677734375,48670.2653512423,54519.7623745678,55032.0791339344,55361.6894224303
125.8984375,49795.5522367579,56319.9432076904,56715.6033463167,56964.4804793215
127.3291015625,50933.6995438222,56834.2805885825,57142.8392894531,57356.0782579553
128.759765625,52084.7072724353,58816.2197442759,58417.7864837551,58530.8715938567
130.1904296875,53248.5754225971,59261.7971665811,58849.4679551565,58922.4693724905
131.62109375,54425.3039943077,59451.1192478544,59704.4564473141,59705.664929758
133.0517578125,55614.892987567,61764.0065623642,62235.3035680275,62055.2516015608
134.482421875,56817.3424023751,62029.0881355932,62657.5340249662,62485.1601596844
135.9130859375,58032.6522387319,65715.5714098016,65640.3086106765,65538.2393310631
137.34375,59260.8224966375,66784.1172863837,66915.0041711599,66935.112716233
138.7744140625,60501.8531760918,66767.4212570621,66915.0041711599,66935.112716233
140.205078125,61755.7442770949,68649.8656968726,68613.8988931609,68511.3880666621
141.6357421875,63022.4957996467,69192.5523822234,69458.8894044069,69629.0443154859
143.06640625,64302.1077437473,70549.2690956003,70749.5985329904,71011.4314593829
144.4970703125,65594.5801093966,72448.672494328,72879.1482855335,73379.5237775511
145.927734375,66899.9128965947,74619.4192357311,74599.2888056913,74945.9148920863
147.3583984375,68218.1061053415,74619.4192357311,74599.2888056913,74945.9148920863
148.7890625,69549.159735637,74890.7625784065,75021.4193500752,75435.334323576
150.2197265625,70893.0737874814,77604.1960051604,77610.7704282355,77882.8632471061
151.650390625,72249.8482608744,78493.5991839297,79343.6267426303,79925.0467100372
153.0810546875,73619.4831558163,79314.0897677338,80625.0346696631,81325.0787142921
154.51171875,75001.9784723068,80134.580351538,81492.3553238169,82304.7721080213
155.9423828125,76397.3342103461,82869.5489642185,83658.0329354433,84262.7610011903
157.373046875,77805.5503699342,85331.0207156309,86236.8739037381,86690.300817291
158.8037109375,79226.626951071,87245.4987445072,88391.7034260423,88829.4256500352
160.234375,80660.5639537566,88652.6842081283,91431.1733720669,92569.2151024038
161.6650390625,82107.3613779909,89933.7727711175,93147.4498445796,94466.8532032297
163.095703125,83567.019223774,92365.7186718533,96170.8087843556,97831.7452467173
164.5263671875,85039.5374911058,93825.5114656032,97041.6230372767,98614.9408039848
165.95703125,86524.9161799863,94328.6038973475,97470.9152236721,99006.5385826186
167.3876953125,88023.1552904156,96902.0417692791,99211.4279052893,100572.929697154
168.818359375,89534.2548223937,98080.1820947414,100083.573592816,101356.125254421
170.2490234375,91058.2147759205,100436.462745666,102245.997828816,103403.541682389
171.6796875,92595.0351509961,101909.138152494,103526.650833922,104630.141072393
173.1103515625,94144.7159476204,103970.883722053,105707.097178368,106869.730400943
174.541015625,95707.2571657934,105461.332797584,107435.823042827,108539.881629404
175.9716796875,97282.6588055152,108176.33244903,110027.007113421,111325.625095231
177.40234375,98870.9208667858,109974.27703267,111761.741071026,113168.494161056
178.8330078125,100472.043349605,111472.564185704,113060.764859819,114372.654354277
180.263671875,102086.026253973,111472.564185704,113931.352615752,115698.029155611
181.6943359375,103712.86957989,113570.166199951,115654.543874218,117378.524748834
183.125,105352.573327356,117166.055367232,118739.25992001,120222.845791124
184.5556640625,107005.13749637,119705.257805531,120057.135072307,121428.510641299
185.986328125,108670.562086933,121821.259837447,121812.037276389,123043.704956115
187.4169921875,110348.847099045,123030.403855684,123128.791331325,124622.948808525
188.84765625,112039.992532705,125448.69189216,125305.179327221,126824.776831857
190.2783203125,113743.998387915,127866.979928635,128807.979491923,130787.0929237
191.708984375,115460.864664673,128169.265933195,129239.295662273,131220.314669757
193.1396484375,117190.591362979,128693.585020749,129673.498821715,131611.912448391
