"r","theo","border","trans","iso"
0,0,0,0,0
1.009765625,3.20325149072785,0,0,0
2.01953125,12.8130059629114,0,0,0
3.029296875,28.8292634165507,0,0,0
4.0390625,51.2520238516456,0,0,0
5.048828125,80.0812872681963,0,0,0
6.05859375,115.317053666203,0,0,0
7.068359375,156.959323045665,0,0,0
8.078125,205.008095406583,0,0,0
9.087890625,259.463370748956,0,0,0
10.09765625,320.325149072785,0,0,0
11.107421875,387.59343037807,0,0,0
12.1171875,461.268214664811,0,0,0
13.126953125,541.349501933007,0,0,0
14.13671875,627.837292182659,0,0,0
15.146484375,720.731585413767,0,0,0
16.15625,820.03238162633,0,0,0
17.166015625,925.739680820349,0,0,0
18.17578125,1037.85348299582,0,0,0
19.185546875,1156.37378815275,0,0,0
20.1953125,1281.30059629114,0,0,0
21.205078125,1412.63390741098,0,0,0
22.21484375,1550.37372151228,0,0,0
23.224609375,1694.52003859503,0,0,0
24.234375,1845.07285865924,0,0,0
25.244140625,2002.03218170491,0,0,0
26.25390625,2165.39800773203,0,0,0
27.263671875,2335.1703367406,0,0,0
28.2734375,2511.34916873064,199.849936455176,187.459716613073,182.801126710185
29.283203125,2693.93450370212,401.781643081761,374.919433226145,365.60225342037
30.29296875,2882.92634165507,401.781643081761,374.919433226145,365.60225342037
31.302734375,3078.32468258947,401.781643081761,374.919433226145,365.60225342037
32.3125,3280.12952650532,401.781643081761,374.919433226145,365.60225342037
33.322265625,3488.34087340263,401.781643081761,374.919433226145,365.60225342037
34.33203125,3702.9587232814,504.856514867134,561.045092815351,575.364840823097
35.341796875,3923.98307614162,706.799120813988,748.670835215876,758.165967533282
36.3515625,4151.4139319833,908.741726760842,936.412970756848,940.967094243467
37.361328125,4385.25129080643,908.741726760842,936.412970756848,940.967094243467
38.37109375,4625.49515261102,1110.6843327077,1124.03871315737,1123.76822095365
39.380859375,4872.14551739706,1312.62693865455,1311.78084869835,1306.56934766384
40.390625,5125.20238516456,1312.62693865455,1311.78084869835,1306.56934766384
41.400390625,5384.66575591352,1312.62693865455,1311.78084869835,1306.56934766384
42.41015625,5650.53562964393,1514.5695446014,1499.45645619696,1489.37047437402
43.419921875,5922.8120063558,1615.54084757483,1687.13206369557,1711.8936689842
44.4296875,6201.49488604912,1827.04915590864,1875.49182696083,1894.69479569439
45.439453125,6486.5842687239,1734.67630028951,1875.49182696083,1894.69479569439
46.44921875,6778.08015438014,1938.75586502945,2063.16743445944,2077.49592240457
47.458984375,7075.98254301783,2040.79564739942,2250.90957000041,2310.90697991971
48.46875,7380.29143463697,2448.95477687931,2630.09058135979,2676.50923334008
49.478515625,7691.00682923757,2448.95477687931,2630.09058135979,2676.50923334008
50.48828125,8008.12872681963,2448.95477687931,2630.09058135979,2676.50923334008
51.498046875,8331.65712738315,2857.11390635919,3007.6098608087,3042.11148676045
52.5078125,8661.59203092811,3265.27303583907,3384.85752076548,3407.71374018082
53.517578125,8997.93343745454,3469.35260057902,3763.88218439391,3890.92292386174
54.52734375,9340.68134696242,3673.43216531896,4141.12984435069,4345.94806465608
55.537109375,9689.83575945175,3979.55151242887,4519.28350056917,4756.24595608409
56.546875,10045.3966749225,4387.71064190876,4898.65120973532,5121.84820950446
57.556640625,10407.3640933748,4821.37971698113,5278.34361194328,5487.45046292483
58.56640625,10775.7380148085,5026.54481132075,5468.6321466998,5670.25158963502
59.576171875,11150.5184392237,5231.70990566038,5852.39801113403,6205.017170451
60.5859375,11531.7053666203,5702.70719212822,6234.61956103973,6570.61942387137
61.595703125,11919.2987969983,6117.44953337391,6613.52895290698,6936.22167729174
62.60546875,12313.2987303579,6532.1918746196,6994.33035222535,7301.82393071211
63.615234375,12713.7051666988,7022.44437038556,7378.14266374896,7667.42618413248
64.625,13120.5181060213,7965.75779327318,8338.10571745393,8639.39508379639
65.634765625,13533.7375483252,8175.38299835931,8527.50958490537,8822.19621050658
66.64453125,13953.3634936105,8699.44601107465,9103.36975043707,9373.85310384267
67.654296875,14379.3959418773,8795.04431888866,9294.94890195129,9556.65423055286
68.6640625,14811.8348931256,9854.68821273067,10252.7351588635,10470.6598641038
69.673828125,15250.6803473553,10015.6838319608,10445.710405488,10658.0032421812
70.68359375,15695.9323045665,10228.78348796,10638.282195093,10840.8043688914
71.693359375,16147.5907647591,10821.3189203354,11215.6181941728,11389.2077490219
72.703125,16605.6557279332,11097.2538737219,11407.8754096592,11572.0088757321
73.712890625,17070.1271940887,12026.3628895484,12178.8723480462,12303.2133825729
74.72265625,17541.0051632257,12203.2661763138,12370.4514995605,12486.014509283
75.732421875,18018.2896353442,12421.181643748,12754.8433539361,12929.3178081492
76.7421875,18501.9806104441,13149.2174099485,13330.7290141463,13477.7211882798
77.751953125,18992.0780885254,13149.2174099485,13330.7290141463,13477.7211882798
78.76171875,19488.5820695883,13885.5735849057,14104.2532916355,14216.3389316674
79.771484375,19991.4925536325,14326.3854447439,14685.4594776955,14856.7543076553
80.78125,20500.8095406583,15538.6180592992,15850.566001259,15984.3326739557
81.791015625,21016.5330306654,16182.1020386033,16433.1213888232,16542.7314554541
82.80078125,21538.6630236541,16514.610984602,17017.1115422354,17213.6586766023
83.810546875,22067.1995196242,16706.6413448881,17017.1115422354,17213.6586766023
84.8203125,22602.1425185757,17029.902626062,17405.3052060549,17579.2609300227
85.830078125,23143.4920205087,17255.4642502483,17599.4120649008,17762.0620567329
86.83984375,23691.2480254232,17706.5874986208,17987.8575587966,18127.6643101532
87.849609375,24245.4105333191,18608.8339953658,18760.5965365014,18858.868816994
88.859375,24805.9795441965,20074.9845525764,20119.1322342731,20165.6126823035
89.869140625,25372.9550580553,20526.1078009489,20505.5231124799,20531.2149357238
90.87890625,25946.3370748956,21202.7926735077,21089.8091047409,21079.6183158544
91.888671875,26526.1255947173,21879.4775460664,21871.1609861434,21921.4564777808
92.8984375,27112.3206175205,21879.4775460664,21871.1609861434,21921.4564777808
93.908203125,27704.9221433052,23007.2856669977,22843.8422419497,22835.4621113317
94.91796875,28303.9301720713,23683.9705395564,23433.6221468073,23383.8654914623
95.927734375,28909.3447038189,24811.7786604877,24409.2121678785,24297.8711250132
96.9375,29521.1657385479,25411.5072142064,24799.6565853384,24663.4733784336
97.947265625,30139.3932762584,26659.3937291898,26170.9834794164,26029.7044635402
98.95703125,30764.0273169503,26659.3937291898,26170.9834794164,26029.7044635402
99.966796875,31395.0678606237,27895.1255053908,27351.3692313875,27126.5112238013
100.9765625,32032.5149072785,28524.0907807027,28138.5716479097,27945.7021533011
101.986328125,32676.3684569148,29101.5015252514,28725.4554938823,28512.3808939179
102.99609375,33326.6285095326,29447.9479719806,29118.0099512538,28900.7517595332
104.005859375,33983.2950651318,29909.8765676195,29706.7358320352,29581.7560631273
105.015625,34646.3681237125,31526.6266523557,31472.1058437598,31257.8399502257
106.025390625,35315.8476852746,32796.9302903627,32847.8459906478,32707.3396585855
107.03515625,35991.7337498182,33027.8945881821,33045.3366457652,32890.1407852957
108.044921875,36674.0263173432,33836.2696305502,33832.1256155097,33639.8311508834
109.0546875,37362.7253878497,34529.1625240086,34425.3243878887,34188.234531014
110.064453125,38057.8309613376,35318.0586496931,35013.8024673898,34736.6379111445
